REPORTE DE EVENTOS - CASA INTELIGENTE
Formato: [fecha y hora del RTC] TIPO | descripcion
[2026-09-21 22:51:52] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:51:55] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'DOOR STATUS' (2 s).
[2026-09-21 22:52:03] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:52:07] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:52:09] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:52:11] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:52:17] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:52:18] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:52:21] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:52:23] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:52:24] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:52:26] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:52:28] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:52:30] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 23:02:43] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'DOOR OPEN' (2 s).
[2026-09-21 23:02:51] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:02:54] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:03:00] CONTROL MANUAL | Botón Cerrar puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'DOOR STATUS' (2 s).
[2026-09-21 23:03:08] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 23:03:11] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 23:03:14] CONTROL MANUAL | Consulta de fecha y hora del RTC
[2026-09-21 23:03:16] CONTROL MANUAL | Botón Encender LED presionado
[2026-09-21 23:03:16] CONTROL MANUAL | Botón Apagar LED presionado
[2026-09-21 23:03:19] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Estado inesperado de la puerta: DOOR CLOSED
[2026-09-21 23:03:24] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:03:27] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Sin confirmación válida para 'DOOR STATUS' (2 s).
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 23:04:17] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:20] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:04:22] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:25] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:04:30] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:32] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:33] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:04:34] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:39] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 23:04:41] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:42] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:42] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:43] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:04:46] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:48] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:50] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:04:52] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:54] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:04:55] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:04:57] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:05:07] CONTROL MANUAL | Botón Abrir puerta presionado
